effective_electron_temperature_eV,rescigno_x1_m3_s,hamilton_x1_m3_s,rescigno_x2_m3_s,hamilton_x2_m3_s,rescigno_x0p5_m3_s,hamilton_x0p5_m3_s
2.7713813813813801,3.7291963006545903e-15,3.7793367521282601e-15,3.0424509666635599e-15,3.5279461835927999e-15,4.2295525400508805e-15,3.64943097652137e-15
2.7913913913913899,3.7879058424596001e-15,3.8274178516104104e-15,3.10669731423268e-15,3.5856605261372999e-15,4.2768633134231602e-15,3.6829121929012002e-15
2.8114014014014002,3.8467720694565699e-15,3.8754550221318999e-15,3.1712912240250903e-15,3.6434870556770297e-15,4.3241483759618299e-15,3.7162857331577e-15
2.83141141141141,3.9057890408551403e-15,3.9234437487424104e-15,3.2362215199459e-15,3.7014176775328996e-15,4.3714052025331001e-15,3.74955070185539e-15
2.8514214214214202,3.9649509139855695e-15,3.9713796255120097e-15,3.3014772472456699e-15,3.7594444324517602e-15,4.4186313290422498e-15,3.7827062465658299e-15
2.87143143143143,4.0242519429749999e-15,4.0192583537939106e-15,3.36704767285329e-15,3.8175594952908299e-15,4.4658243511407706e-15,3.8157515565966902e-15
2.8914414414414402,4.0836864774201098e-15,4.0670757404962296e-15,3.4329222852057599e-15,3.8757551736587398e-15,4.51298192296e-15,3.8486858617566305e-15
2.91145145145145,4.1432489610583995e-15,4.1148276963638004e-15,3.4990907936155701e-15,3.9340239065197398e-15,4.5601017558708801e-15,3.8815084311549197e-15
2.9314614614614598,4.2029339304400802e-15,4.1625102342710498e-15,3.5655431272149599e-15,3.9923582627674798e-15,4.6071816172693199e-15,3.9142185720350199e-15
2.95147147147147,4.2627360136022105e-15,4.2101194675266102e-15,3.6322694335143898e-15,4.0507509397739003e-15,4.65421932938675e-15,3.9468156286409801e-15
2.9714814814814798,4.3226499287468899e-15,4.2576516081906897e-15,3.6992600766111199e-15,4.1091947619182801e-15,4.7012127681253896e-15,3.97929898111588e-15
2.9914914914914901,4.38267048292479e-15,4.3051029654057608e-15,3.7665056350818803e-15,4.1676826791011398e-15,4.7481598619177803e-15,4.0116680444312695e-15
3.0115015015014999,4.4427925707255596e-15,4.3524699437412094e-15,3.8339968995921701e-15,4.2262077652471605e-15,4.7950585906100898e-15,4.0439222673468494e-15
3.0315115115115101,4.5030111729761801e-15,4.3997490415527401e-15,3.9017248702525701e-15,4.2847632168007399e-15,4.8419069843688201e-15,4.0760611313995402e-15
3.0515215215215199,4.56332135544842e-15,4.4469368493567898e-15,3.9696807537512199e-15,4.3433423512176104e-15,4.8887031226104103e-15,4.1080841499209904e-15
3.0715315315315301,4.6237182675764201e-15,4.4940300482207796e-15,4.0378559602894698e-15,4.40193860545555e-15,4.9354451329533203e-15,4.13999086708284e-15
3.0915415415415399,4.68419714118523e-15,4.5410254081692901e-15,4.1062421003462696e-15,4.4605455344666301e-15,4.9821311901921296e-15,4.1717808569689203e-15
3.1115515515515502,4.7447532892311397e-15,4.58791978660693e-15,4.1748309812953e-15,4.5191568096934798e-15,5.0287595152932995e-15,4.20345372267358e-15
3.13156156156156,4.8053821045544699e-15,4.6347101267579196e-15,4.2436146038968896e-15,4.5777662175715605e-15,5.07532837441205e-15,4.2350090954255403e-15
3.1515715715715702,4.8660790586455303e-15,4.6813934561229706e-15,4.3125851586856901e-15,4.6363676580391802e-15,5.1218360779300104e-15,4.2664466337362799e-15
3.17158158158158,4.9268397004241708e-15,4.7279668849536094e-15,4.38173502227308e-15,4.6949551430569001e-15,5.1682809795132399e-15,4.2977660225725696e-15
3.1915915915915898,4.9876596550335096e-15,4.7744276047441497e-15,4.4510567535823002e-15,4.7535227951374798e-15,5.2146614751901706e-15,4.3289669725523298e-15
3.2116016016016,5.0485346226482605e-15,4.8207728867417298e-15,4.5205430900324799e-15,4.8120648458877204e-15,5.2609760024490294e-15,4.3600492191630001e-15
3.2316116116116098,5.1094603772978808e-15,4.8670000804743606e-15,4.5901869436867299e-15,4.8705756345629398e-15,5.3072230393544898e-15,4.3910125220021502e-15
3.2516216216216201,5.1704327657050399e-15,4.9131066122972699e-15,4.6599813973780703e-15,4.9290496066350507e-15,5.3534011036829498e-15,4.4218566640392805e-15
3.2716316316316298,5.2314477061395e-15,4.9590899839577095e-15,4.7299197008255905e-15,4.9874813123747901e-15,5.3995087520762199e-15,4.4525814508985102e-15
3.2916416416416401,5.29250118728766e-15,5.0049477711781999e-15,4.7999952667524395e-15,5.0458654054487003e-15,5.4455445792132001e-15,4.4831867101614703e-15
3.3116516516516499,5.3535892671380004e-15,5.0506776222583698e-15,4.8702016670158597e-15,5.1041966415311903e-15,5.4915072169991097e-15,4.5136722906898204e-15
3.3316616616616601,5.4147080718823802e-15,5.0962772566955095e-15,4.9405326287585106e-15,5.1624698769321496e-15,5.5373953337719097e-15,4.5440380619667201e-15
3.3516716716716699,5.4758537948335102e-15,5.1417444638237403e-15,5.0109820305895194e-15,5.2206800672402098e-15,5.5832076335257798e-15,4.5742839134570101e-15
3.3716816816816801,5.53702269535838e-15,5.1870771014719107e-15,5.0815438988025204e-15,5.2788222659818404e-15,5.6289428551508103e-15,4.6044097539852301e-15
3.3916916916916899,5.5982110978279201e-15,5.2322730946402301e-15,5.15221240363742e-15,5.3368916232964599e-15,5.6745997716891401e-15,4.6344155111312598e-15
